IdAudio;Izena;iraupena;irudia;mota;mp3
1;Pray You Catch Me;3.16;PrayYouCatchMe.jpg;Abestia;mp3 datuak hemen
2;Hold Up;3.41;HoldUp.jpg;Abestia;mp3 datuak hemen
3;Don't Hurt Yourself;3.54;DontHurtYourself.jpg;Abestia;mp3 datuak hemen
4;Shape of you;3.54;shapeOfYou.jpg;Abestia;mp3 datuak hemen
5;Perfect;4.23;perfect.jpg;Abestia;mp3 datuak hemen
6;Happier;3.28;happier.jpg;Abestia;mp3 datuak hemen
7;Saoko;2.18;Saoko.jpg;Abestia;mp3 datuak hemen
8;Bizcochito;1.49;Bizcochito.jpg;Abestia;mp3 datuak hemen
9;Hentai;2.43;Hentai.jpg;Abestia;mp3 datuak hemen
10;Corazon Partido;5.23;corazonPartido.jpg;Abestia;mp3 datuak hemen
11;Amiga mia;4.51;amigaMia.jpg;Abestia;mp3 datuak hemen
12;Ese ultimo momento;5.04;eseUltimoMomento.jpg;Abestia;mp3 datuak hemen
13;El beso;4.19;elBeso.jpg;Abestia;mp3 datuak hemen
14;Tanto;4.17;tanto.jpg;Abestia;mp3 datuak hemen
15;Quien;4.09;quien.jpg;Abestia;mp3 datuak hemen
16;Amen;2.22;amen.jpg;Abestia;mp3 datuak hemen
17;Calling for you;4.46;callingForYou.jpg;Abestia;mp3 datuak hemen
18;Dayligth;2.45;dayligth.jpg;Abestia;mp3 datuak hemen
19;Buleria;4.12;buleria.jpg;Abestia;mp3 datuak hemen
20;Permitame señora;4.44;permitameSeñora.jpg;Abestia;mp3 datuak hemen
21;Se acaba;3.53;seAcaba.jpg;Abestia;mp3 datuak hemen
22;Mosh;5.18;mosh.jpg;Abestia;mp3 datuak hemen
23;Puke;4.08;puke.jpg;Abestia;mp3 datuak hemen
24;Rain man;5.03;rainMan.jpg;Abestia;mp3 datuak hemen
25;Talk;5.11;talk.jpg;Abestia;mp3 datuak hemen
26;Fix you;4.55;fixYou.jpg;Abestia;mp3 datuak hemen
27;A message;4.45;aMessage.jpg;Abestia;mp3 datuak hemen
28;Atrapado;3.39;atrapado.jpg;Abestia;mp3 datuak hemen
29;Fuego;3.15;fuego.jpg;Abestia;mp3 datuak hemen
30;Despertar;3.14;despertar.jpg;Abestia;mp3 datuak hemen
31;The Wild Project #1;122.24;TheWildProject#1.jpg;Podcast;mp3 datuak hemen
32;The Wild Project #2;135.54;TheWildProject#2.jpg;Podcast;mp3 datuak hemen
33;Club 113 #1;87.27;Club113#1.jpg;Podcast;mp3 datuak hemen
34;Club 113 #3;90.13;Club113#3.jpg;Podcast;mp3 datuak hemen
;;;;;
